Reference, Value, Footprint, Datasheet
"R6","30k","Resistors_SMD:R_0805",""
"C4","200pF","Capacitors_SMD:C_0805",""
"U2","LMP7721","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"J2","CONN_COAXIAL","WheelerLab:JACK_SMA",""
"R8","10k","Resistors_SMD:R_0805",""
"PMT1","H12056-PMT","WheelerLab:H12056-PMT-1mm_Holes",""
"DIGIPOT1","MCP41010","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"C6","0.1uF","Capacitors_SMD:C_0805",""
"VREF1","MCP1501-SOIC","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"ADC1","MAX11210","Housings_SSOP:QSOP-16_3.9x4.9mm_Pitch0.635mm",""
"C13","0.1uF","Capacitors_SMD:C_0805",""
"C9","0.1uF","Capacitors_SMD:C_0805",""
"C3","0.1uF","Capacitors_SMD:C_0805",""
"C12","100pF","Capacitors_SMD:C_0805",""
"C11","0.1uF","Capacitors_SMD:C_0805",""
"C10","47uF","Capacitors_SMD:C_0805",""
"U1","LMP7715MF","TO_SOT_Packages_SMD:SOT-23-5",""
"C5","0.1uF","Capacitors_SMD:C_0805",""
"R7","100","Resistors_SMD:R_0805",""
"R5","301","Resistors_SMD:R_0805",""
"C2","100pF","Capacitors_SMD:C_0805",""
"C1","0.1uF","Capacitors_SMD:C_0805",""
"R9","49.9","Resistors_SMD:R_0805",""
"C8","0.1uF","Capacitors_SMD:C_0805",""
"C7","2.2uF","Capacitors_SMD:C_0805",""
"R1","50","Resistors_SMD:R_0805",""
"R2","50","Resistors_SMD:R_0805",""
"R3","50","Resistors_SMD:R_0805",""
"R4","50","Resistors_SMD:R_0805",""
"R10","50","Resistors_SMD:R_0805",""
"C14","0.1uF","Capacitors_SMD:C_0805",""
"L1","Ferrite_Bead","Capacitors_SMD:C_0805",""
"J1","CONN_01X10","WheelerLab:CONN-FPC-B-RA-10POS-1mm",""
